filepath,SAC,WAC,STC,WTC,SCC,WCC,Correct
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_13.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_14.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_15.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_8.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_2_9.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_1.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_10.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_11.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_12.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_13.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_14.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_15.txt,1,0,1,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_16.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_2.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_3.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_4.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_5.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_6.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_7.txt,1,0,0,0,0,0,1
Mutation_Detected\Rules\Mutated\SAC\SAC_LightingScene_0_3_8.txt,1,0,0,0,0,0,1
